wealth_segment,owns_car,property_valuation
Mass Customer,Yes,10
Mass Customer,Yes,9
Mass Customer,No,4
Affluent Customer,Yes,9
High Net Worth,Yes,9
Affluent Customer,Yes,4
Mass Customer,No,12
Affluent Customer,Yes,8
Mass Customer,Yes,4
Mass Customer,No,6
Mass Customer,No,8
Affluent Customer,No,4
Mass Customer,No,9
Mass Customer,Yes,12
Affluent Customer,No,8
High Net Worth,No,7
Mass Customer,No,10
Affluent Customer,Yes,3
Mass Customer,No,5
High Net Worth,Yes,7
Mass Customer,Yes,7
Mass Customer,Yes,11
High Net Worth,Yes,6
Affluent Customer,Yes,1
High Net Worth,Yes,10
High Net Worth,No,9
Affluent Customer,No,10
Affluent Customer,No,2
Mass Customer,No,3
Affluent Customer,Yes,10
Affluent Customer,No,5
Mass Customer,Yes,8
Affluent Customer,No,3
High Net Worth,No,10
Affluent Customer,Yes,7
High Net Worth,No,12
Affluent Customer,No,6
Affluent Customer,Yes,5
High Net Worth,Yes,1
Mass Customer,No,11
High Net Worth,No,11
Mass Customer,No,7
Affluent Customer,No,9
Affluent Customer,Yes,12
High Net Worth,Yes,8
Mass Customer,No,1
High Net Worth,No,8
Affluent Customer,Yes,2
High Net Worth,No,2
High Net Worth,No,1
High Net Worth,Yes,5
High Net Worth,No,6
Mass Customer,Yes,3
Affluent Customer,No,11
Affluent Customer,Yes,6
High Net Worth,Yes,11
Affluent Customer,No,1
Affluent Customer,No,7
